Número,Enunciado,Alternativa A,Alternativa B,Alternativa C,Alternativa D,Resposta Correta
11,"Umaindústria,dosegmentodemetais,produzequipamentosmédicos, gastacommatéria-primaR$4.000,00","A.R$3.200,00","B.R$7.200,00","C.R$2.120,00","D.R$1.120,00",
12,Ataxadejuroscalculadacomoataxamédiadasoperaçõescompromissadasdeumdiaentreasinstituições,A.TaxaDi,B.TaxaReferencial(TR).,C.TaxaBásicaFinanceira(TBF),D.TaxaSelic.,
13,ComrelaçãoàNecessidadedeFinanciamentodoSetorPúblico(NFSP,"A.asLetrasFinanceirasdoTesouro(LFT)referem-seatítulosemitidospara,entreoutros,orefinanciamentodaprópria","B.oresultadonominaléobtidopeladiferençaentreasreceitaseosgastospúblicos,incluindo-seosjurosdadívida","C.aDívidaPúblicaMobiliáriaFederalInterna(DPMFI)éoestoquedetítulosemitidospeloTesouroNacional,tantoem",D.oresultadoprimárioéoresultadoobtidoantesdopagamentodosjurosdadívidainternaeexterna.,
14,"Umgestoradquiriuopçõesdecompraeuropeiassobre5.000açõesdeumadeterminadaempresa,com","A.R$20.000,00","B.R$12.500,00","C.R$14.500,00","D.R$22.000,00",
15,OquadroabaixoapresentaossubíndicesdoIMA-ÍndicedeMercadoANBIMAeseusrespectivosindexadoresda,"ArelaçãoentreoindexadoreorespectivosubíndicedoIMAestácorreta,apenasem",A.IleIll,"B.I,lleIV",C.lell,D.IeIV,
16,"UmaaçãoestácotadanomercadoaR$18,00.UminvestidorestimaumlucroporaçãoigualaR$2,00noatual",A.capitalinvestidoserárecuperadoemnoveanos.,"B.olucrodeveráseelevar,anualmente,em11,00%.","C.ataxaderetornodaaçãoseráde1,80%a.a","D.oretornoesperadodaaçãoseráde11,11%paraumperíododenoveanos.",
17,Osgráficosrepresentadospelasfiguras1e2indicamestratégiascomopçõesdeaçõesgráfico:,A.compradeputfopçãodevenda)evendadecall(opçãodecompra).,B.vendadecall(opçãodecompra)ecompradecall(opçãodecompra).,C.vendadeput(opçãodevenda)evendadecall(opçãodecompra).,D.compradeput(opçãodevenda)ecompradecall(opçãodecompra).,
18,OTesouroNorte-Americanorealizaráumleilãodetítulospúblicos.Osinvestidoresquepretendamadquirirtítulos,A.T-BillseT-Bonds,B.T-NoteseTIPS,C.T-NoteseT-Bonds,D.T-BillseTIPS,
19,Umgestordeumfundodeinvestimentoavaliouapossibilidadedeadquirirosseguintestítulospúblicos:uma,"A.5,25%a.a.","B.6,50%a.a.","C.4,93%a.a.","D.6,00%a.a.",
20,"Uminvestidor,pessoafísica,residenteedomiciliadonoBrasiladquiriunaBolsadeValores1.000açõesdeuma",Dados:,"A.R$17,50","B.R$0,00","C.R$262,50","D.R$350,00",
21,"UmtítuloderendafixaprefixadocomcupomanualdeR$80,00possuiumvalordefacedeR$1.000,00,prazode",,,,,
(CY,"destetítuloé,aproximadamente,","A.7,30%a.a.","B.8,63%a.a.","C.8,00%a.a.","D.9,47%a.a.",
22,Otitulardeumaopçãodecompra(call,A.menordoqueopreçodeexercíciomaisovalorpagopeloprêmio.,B.menordoqueopreçodeexercício.,C.maiordoqueopreçodeexercício.,D.maiordoqueopreçodeexercíciomaisovalorpagopeloprêmio.,
23,"UminvestidorpretendeelaborarumaestratégiadeinvestimentocomduasaçõesintegrantesdoíndiceBovespa,",A.IIapenas,B.IeII,C.IIeIII,D.IeIll,
24,"Naescrituradeemissão,queespecificaascondiçõessobasquaisumadebêntureseráemitida,é",A.intervençãodoagentefiduciário.,B.discriminaçãodosdiferentesdireitosparaostitularesdeumamesmasérie.,C.interveniênciadoauditorindependentedacompanhiaemissora.,D.classificaçãodoriscoporagênciaespecializada.,
25,"NomodelodeBlack&Scholes,mantidasasdemaisvariáveisconstantes,aopçãodecompra(call",A.menoravolatilidadedoretornodoativoobjeto.,B.maioropreçodeexercício(strike),D.menoroprazodevencimento.,,
26,UminvestidorédetentordeaçõesdeumacompanhiacujaAssembleiadeAcionistasautorizouumaumentode,"A.R$2,45","B.R$2,40","C.R$2,48","D.R$2,50",
27,OsdepósitosourecolhimentocompulsóriosrealizadospeloBancoCentraldoBrasil(BACEN,"A.I,IIeIII.","B.IeIII,apenas.","C.Iell,apenas.","D.IIeIII,apenas.",
28,Deacordocomosdadosapresentadosnatabelaenográficoabaixo:,ComparativodarentabilidadehistóricadofundoalfaedaTaxaDInoanode2015,"A.passivo,comrentabilidademensalsuperioraoretornedaTaxaDLnosúltimos12meses.",B.ativocomrentabilidademensalsuperioraoretornodaTaxaDLnosúltimos12últimos12meses.,"C.passivo,comrentabilidadeacumuladasuperioraoretornodaTaxaDI,em12meses","D.ativo,comrentabilidadeacumuladasuperioraoretornodaTaxaDl,em12meses.",
29,"OsFundosdeRendaFixaReferenciadosàTaxaDI,IeII,demesmataxadeadministraçãoedistribuídosaos","Comparando-seosFundosIeII,écorretoafirmarque",A.Iéumfundoquenãomarcaseustítulosamercado.,B.Iestámaisaderenteaoobjetivodofundo.,C.Ilestámaisaderenteaoobjetivodofundo.,D.Iléumfundoquenãomarcaseustítulosamercado,
30,"Ao explicarparaseuclienteostrêsníveisdaClassificaçãodeFundosANBIMA,umgerenteafirmou-lheque:","A.I,apenas.","B.Iell,apenas.","C.I,lleIII.","D.IeIII,apenas.",
31,"UminvestidorqueadquirircotasdeumFundodeInvestimentoRendaFixaÍndice,cujobenchmarkéoíndicede",A.títulospúblicoseprivadosindexadosàvariaçãodoIPCA,B.títulospúblicosprefixadosepós-fixadosindexadosàvariaçãodaTaxaSelic.,C.títulosprivadosprefixadosepósfixadosindexadosàvariaçãodaTaxaDI.,D.títulospúblicosindexadosàvariaçãodoIPCA.,
32,Uminvestidorquequeirainvestiremfundosdeinvestimentoemações(FIA,A.podedecomprarevenderambososfundosemsuasrespectivasinstituiçõesfinanceirasdistribuidoras.,"B.podecomprarevenderambososfundosnaB3,viahomebroker.","C.podecomprarevenderoETFnaB3,viahomebroker;ecomprarevenderoFIAemsuainstituiçãofinanceiradistribuidora.","D.podecomprarevenderoETFemsuainstituiçãofinanceiradistribuidora;ecomprarevenderoFIAnaB3,via",
33,"Emjunhode2018,uminvestidoradquiriucotasdeumfundodeinvestimentoderendafixacurtoprazonovalor","A.R$108.500,00","B.R$108.000,00","C.R$110.000,00","D.R$107.750,00",
34,"UminvestidoraplicouR$3.000.000,00peloperíodode01/06/2022e30/07/2023, emumFundodeRenda",Atabelaapresentaarentabilidadedessefundoparaoperíododoinvestimento.,"A.R$3.148.585,24","B.R$3.156.170,25","C.R$3.147.430,82","D.R$3.152.616,50",
35,"EricaéumainvestidoraquetempreferênciaporaplicaçõesemtítulosdeRendaFixa,masdecidiu,apartirdo",A.FundodeinvestimentoemDireitoCreditório(FIDC).,B.FundodeInvestimentoemParticipações(FIP),C.FundodeindiceouExchangeTradedFunds(ETFs),D.FundodeInvestimentoimobiliário(FII).,
36,"SegundooCódigoANBIMAdeAdministraçãoeGestãodeRecursosdeTerceiros,ofundoqueédestinadoa",A.FundoAberto,B.FundoReservado,C.FundoExclusivo,D.FundoFechado,
37,AvariaçãodacotadeumfundodeInvestimentoAbertoRendaFixaReferenciadoDipoderásernegativaem,A.diminuiçãonastaxasdecaptaçãodosbancoscujosCertificadosdeDepósitoBancário(CDB)pós-fixadosfaçam,B.elevaçãonastaxasdecaptaçãodosbancoscujosCertificadosdeDepósitoBancário(CDB)pós-fixadosfaçam,C.melhoradoratingdosbancoscujosCertificadosdeDepósitoBancário(CDB)façampartedacarteiradessefundo.,D.diminuiçãododeságiodostítulospúblicosindexadosàTaxaSelic.,
38,"SegundoasRegraseProcedimentosdeAdministraçãoeGestãodeRecursosdeTerceirosdaANBIMA, parao","A.I,apenas","B.IeIII,apenas.","C.I,IIellI.","D.IIeIII,apenas.",
39,"Uminvestidor,preocupadocomocenárioatualdomercado,adquiriucotasdeumFundodeInvestimento","A.oriscodecréditodostítulosprivadoségarantidopeloadministrador,deformaadevolver,nomínimo,100%do",B.riscodecréditoinerenteàparcelainvestidaemtítulosprivadospoderáacarretaraperdadepartedocapital,C.oriscodacompradeopçõesdeaçõese/ouopçõesdeindicespoderáacarretaraperdadepartedocapital,D.osriscosdemercadoedeliquidezdosinstrumentosderivativospoderãoacarretaraperdade100%docapitalaplicado.,
40,"SegundooCódigodeRegulaçãoeMelhoresPráticasparaAdministraçãodeRecursosdeTerceirosdaANBIMA,","A.IeII,apenas.","B.I,IIeIII.","C.IIeIII,apenas.","D.IeIII,apenas.",
41,MônicadecidiucontratarumplanodeprevidênciacomplementardotipoVidaGeradordeBenefícioLivre,Aslacunasdafrasedeverãoserpreenchidascorretamentepor:,A.menor menor menor,B.menor maior menor,C.maior maior menor,D.menor maior maior,
42,"Uminvestidorrealizaumúnicoaporte,hoje,deR$500.000,00emumplanodeprevidênciacomplementardo","Dado:rendimentobrutoanualconstanteparaos15anos:8,00%a.a.","A.R$1.586.084,56","B.R$1.477.476,10","C.R$1.427.476,10","D.R$977.476,10",
43,Umindivíduocontratouumplanodeprevidênciacomplementareacumulouem12mesesumsaldototalde,"A.PlanoGeradordeBenefícioLivre(PGBL),comregimedetributaçãocompensável(tabelaprogressiva).","B.PlanoGeradordeBenefícioLivre(PGBL),comregimedetributaçãoexclusivonafonte(tabelaregressiva).","C.VidaGeradordeBeneficioLivre(VGBL),comregimedetributaçãocompensável(tabelaprogressiva).","D.VidaGeradordeBenefícioLivre(VGBL),comregimedetributaçãoexclusivonafonte(tabelaregressiva).",
44,"Umcirurgião-dentista,53anosdeidade,residenteedomiciliadonoBrasil,pretendeseaposentaraos65anos.","A.R$284.973,12","B.R$279.273,66","C.R$277.488,30","D.R$283.151,32",
45,"Oregimedetributaçãodefinitivoouexclusivodosplanosdeprevidênciacomplementar,",A.IV.,"B.I,IIeIII.",C.III,D.IeIV.,
46,"Uminvestidor,aoaplicarrecursosemumplanodeprevidênciacomplementardotipoPlanoGeradorde","BenefícioLivre(PGBL)deRendaFixaPós-Fixada,duranteafasedecontribuição,assumiráoriscode:",A.créditodaseguradoraproprietáriadoplanoeodemercadodosativosquecompõemacarteiradofundode,"B.mercadodosativosquecompõemacarteiradofundodeinvestimentoespecialmenteconstituídoparaoplano,",C.créditodoadministradordoplanoeodemercadodosativosquecompõemacarteiradofundodeinvestimento,"D.créditodaseguradoraproprietáriadoplano,apenas.",
47,"Carlos,residenteedomiciliadonoBrasil,éexecutivoemumaindústriadosetorprivadoonderecebeum","A.R$1.500,00.","B.R$6.000,00.","C.R$4.000,00.","D.R$3.500,00.",
48,"Umindivíduo,45anosdeidade,domiciliadoeresidentenoBrasil,possuiumPlanodePrevidência","ComplementarAbertodotipoVidaGeradordeBenefícioLivre(VGBL),queadotatábuaatuarialAT83+0%na","A.migrarparaonovoplano, apenasseatábuaatuarialforigualoumaisantigadoqueaAT83.","B.migrarparaonovoplano, apenasseatábuaatuarialformaisrecentedoqueaAT83.","C.nãomigrarparaonovoplano,independentementedatábuaatuarial.","D.migrarparaonovoplano,independentementedatábuaatuarial",
49,Oindicadorutilizadoparacompararodesempenhodefundosdeinvestimentoequerelacionaoretornoadicional,A.ValueatRisk.,B.trackingerror.,C.indicedeSharpe.,D.indicedeTreynor.,
50,"Ataxaprojetadaparaumanodoativolivrederiscoéde9,00%a.a.eoretornodomercadodeações,parao","A.9,00%a.a.","B.13,00%a.a.","C.31,00%a.a.","D.22,00%a.a",
51,"Umanalistaavaliaaaçãodaempresa""Delta""eestimaqueorendimentodedividendosdaação(dividendyield","A.11,25%","B.14,25%","C.17,25%","D.22,75%",
52,Umclienteapresentaperfilmoderadoebuscaumaestratégiaquetenhapotencial depreservaroseucapital,A.açõesqueseguemoIBOVedebênturesincentivadasquereplicamoIMA-B,B.debênturesincentivadasqueseguemoIMA-BefundosimobiliáriosquereplicamoIFIX.,C.açõesqueseguemoIBOVefundosmultimercadoquereplicamoIFMM.,D.fundosimobiliáriosqueseguemoIFIXefundosmultimercadoquereplicam,
53,EmrelaçãoaoCapitalAssetPricingModel(CAPM,"A.utiliza,necessariamente,acarteiradomercadoparaprecificarativos.",B.admitediferentescomposiçõesdosfatoresderisco.,C.possuipremissasmaisrestritivas.,"D.émenosflexível,devidoàssuasvariáveis",
54,SecurityMarketLine(SML,A.acarteiraApossuidiversificaçãomenordoqueaB.,B.oriscosistemáticodacarteiraBésuperioraodeA.,C.oriscodemercadodacarteiraAésuperioraodeB.,D.acarteiraBémaisalavancadadoqueaA.,
55,"Casouminvestidortenhaqueselecionarumdosfundosabaixo,utilizandooíndicedeSharpe:",A.I,B.II,C.III,D.IV,
56,"NaGestãodeFundosdeinvestimento,pormeiodadiversificação,","A.III,apenas.","B.I,IIeIII.",C.Iapenas.,"D.II,apenas.",
57,"Umcliente, antesderealizaraplicaçõesemaçõesdeumbanco,noqualecorrentista,questionaaum",A.acordadosentrepaísescomoobjetivodeprevenircrimesdelavagemdedinheiro.,B.desenvolvidoscomoobjetivoderegulamentaromercadodecapitaisinternacional.,C.criadospararegularolivrefluxodecapitaisInternacionaleminimizarcrisesfinanceiras.,D.desenvolvidoscomoreferênciabásicaparaumasupervisãobancáriaeficaz,
58,"Acovariânciaentreosretornosdasaçõesdeumaempresaedacarteirademercadoé0,005;eavariânciados","A.0,10","B.0,80","C.0,90","D.1,25",
59,Umespecialistaeminvestimentodeumacorretoraidentificouqueamaioriadosclientesalteravafrequentemente,A.excessodeconfiança.,B.armadilhadaconfirmação.,C.representatividade.,D.ancoragem.,
60,JulianainvestiuemumaempresadosetordemineraçãocomumíndicePreçosobreLucro(P/L,A.doexcessodeconfiança.,B.daaversãoàperda.,C.daancoragem.,D.dadisponibilidade.,
61,"Uminvestidoradquiriuopçõesdeações,deacordocomaestratégiastrangle.Nessecaso,esseinvestidor",A.adquiriuduasopçõesdecompra(call)evendeuduasopçõesdevenda(put)domesmoativoobjetoemesmo,B.oassumiuposiçõesemtrêsdiferentesstrikesdemesmoativeobjetoemesmovencimento.,C.obteveganhoscomaltaebaixadopreçodoativoobjeto.,D.oadquiriuduasopçõesdecompra(call)evendeuduasopçõesdecompra(call)domesmoativoobjetoemesmo,
62,"Uminvestidorplanejaaposentar-secomumarendavitalíciamensaldeR$15.000,00.Paraatingiroseuobjetivo,","A.R$2.200.000,00","B.R$2.500.000,00","C.R$1.800.000,00","D.R$3.000.000,00",
63,Augustoéfuncionáriodeumbancodegrandeportequepossuiaçõesnegociadasembolsa.Oseuconsultorde,A.doexcessodeconfiança.,B.darepresentatividade.,Cdadisponibilidade,D.dailusãodecontrole,
64,SegundoaPLANEJAR (AssociaçãoBrasileiradePlanejadoresFinanceiros,A.aexecuçãodasrecomendaçõesapresentadasaocliente.,B.aanáliseeavaliaçãodascondiçõesfinanceirasdocliente.,C.aanálisedeaçõesdecompanhiasabertasquepodemseradquiridaspelocliente.,D.omonitoramentodasrecomendaçõesapresentadasaocliente,
65,"Umindivíduo,35anosdeidade,pretendeseaposentaraos65anos.Suaúnicafontederendaéoseusalário",A.manteromodelodaDeclaraçãoecontribuir paraumplanodeprevidênciacomplementardotipoVidaGerador,B.manteromodelodaDeclaraçãoecontribuir paraumplanodeprevidênciacomplementardotipoPlanoGerador,C.alteraromodelodaDeclaraçãonopróximoanoecontribuirparaumplanodeprevidênciacomplementardotipo,D.alteraromodelodadeclaraçãonopróximoanoecontribuirparaumplanodeprevidênciacomplementardotipoPlano,
66,"Umindivíduo,assalariado,comrendimentoanualdeR$120.000,00,contribuianualmentecomR$15.000,00","A.PGBL,comregimedetributaçãocompensável(tabelaprogressiva)","B.VGBL,comregimedetributaçãoexclusivonafonte(tabeladefinitiva)","C.VGBL,comregimedetributaçãocompensável(tabelaprogressiva).","D.PGBL,comregimedetributaçãoexclusivonafonte(tabeladefinitiva)",
67,"Umadasetapasdoprocessodeelaboraçãodoplanejamentofinanceiro,conformeaAssociaçãoBrasileirade","A.III,apenas.","B.I,apenas.","C.I,IIeIII.","D.IeII,apenas.",
68,"Ográficoabaixo,quedemonstraodesempenhodasprincipaisaplicaçõesfinanceirasnoúltimomês,foi",A.doexcessodeconfiança.,B.darepresentatividade.,C.daancoragem.,D.daaversãoàperda.,
69,"SegundoaResoluçãon°30daCVM,osprofissionaisquefazemrecomendaçãodeprodutosdeinvestimento",A.oretornoesperadoeaexistênciadegarantias.,B.osriscosassociadoseoprazodevencimento,C.oretornoesperadoeoprazodevencimento.,D.osriscosassociadoseaexistênciadegarantias.,
70,Ricardoéuminvestidorquepossuiaçõesdeumaempresanosetordesoftwaresquetêmapresentadouma,A.representatividade.,B.aversãoàperda.,C.disponibilidade.,D.confirmação.,
